bid_id,category,buyer,quantity,bid_value,award_date,winner_name,winner_price,num_bidders,vendor_name,vendor_rank,vendor_price,status_flag,result_accessible,source_url
GEM/2026/B/7537742,"Caliper Pad,Oil Filter,Air Compressor Ring Set,Packing Kit,Front Brake Cable,Brake Booster Kit,Brak","Ministry of Defence
Department of Military Affairs",36,0.0,2026-05-23,M S Farooq Enterprises Mse Mse Social Category General Under Pma,79279.0,3,M S Farooq Enterprises Mse Mse Social Category General Under Pma,L1,79279.0,repeat_winner,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9326749
GEM/2026/B/7537692,"Cabin Lifting Pipe,Relay Valve Kit,Solenoid Switch,Self Starter Bush,Cabin Lifting Pump,Bendix Driv","Ministry of Defence
Department of Military Affairs",53,0.0,2026-05-23,M S Farooq Enterprises Mse Mse Social Category General Under Pma,50560.0,3,M S Farooq Enterprises Mse Mse Social Category General Under Pma,L1,50560.0,repeat_winner,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9326692
GEM/2026/B/7537660,"Minor Kit Assy,Diaphragm Kit,Door Lock Assy RH,Oil Seal,Main Shaft Flange,Drain Pipe,Drain Plug,Oil","Ministry of Defence
Department of Military Affairs",26,0.0,2026-05-23,M S Farooq Enterprises Mse Mse Social Category General Under Pma,39415.0,3,M S Farooq Enterprises Mse Mse Social Category General Under Pma,L1,39415.0,repeat_winner,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9326657
GEM/2026/B/7537433,Repair and Overhauling Service - diesel generators- DG Sets; Kirloskar; Yes; Buyer Premises,"Ministry of Defence
Department of Military Affairs",1,0.0,2026-05-23,Evershine Enterprisesunder Pma,23482.0,3,Evershine Enterprisesunder Pma,L1,23482.0,ok,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9326409
GEM/2026/B/7535739,High Mast Lighting Tower for large area with LED Flood Lighting System,Department of Panchayati Raj,2,0.0,2026-05-23,Dev Group Mse Social Category General Under Pma,1382000.0,3,Dev Group Mse Social Category General Under Pma,L1,1382000.0,repeat_winner,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9324579
GEM/2026/B/7535639,High Mast Lighting Tower for large area with LED Flood Lighting System,Department of Panchayati Raj,2,0.0,2026-05-23,Dev Group Mse Social Category General Under Pma,1382000.0,3,Dev Group Mse Social Category General Under Pma,L1,1382000.0,repeat_winner,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9324473
GEM/2026/B/7529785,"WALL MOUNTED HEATER 55 X 22CM 2000W,SPEAKER REPAIR KIT,FLEX WITH IRON FRAME 6 X 4 FEET,SAFETY GLOVE","Ministry of Defence
Department of Military Affairs",46,0.0,2026-05-23,Mewalaya Mse Mse Social Category General Under Pma,44344.0,3,Mewalaya Mse Mse Social Category General Under Pma,L1,44344.0,ok,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9318160
GEM/2026/B/7559206,"Catering service (Duration Based) - Veg, Non Veg; Breakfast, Lunch, Dinner, Snack/High Tea Diet as","Ministry of Defence
Department of Defence",500,0.0,2026-05-23,Vanya Mess & Catering Opc Private Limited Mse Social Category General Under Pma,1045000.0,3,Vanya Mess & Catering Opc Private Limited Mse Social Category General Under Pma,L1,1045000.0,ok,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9350689
GEM/2026/B/7534893,Ration Kit,Prisons Administration and Reforms Department Uttar Pradesh,1,0.0,2026-05-23,Sangram Buildconunder Pma,197260.0,3,Sangram Buildconunder Pma,L1,197260.0,ok,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9323666
GEM/2026/B/7529724,MILD STEEL FABRICATED ACP EQUIPMENT INFORMATION STANDING BOARD 4FTX3FT,"Ministry of Defence
Department of Military Affairs",12,0.0,2026-05-23,Royal Trades Mii Under Pma,99672.0,3,Royal Trades Mii Under Pma,L1,99672.0,ok,yes,https://bidplus.gem.gov.in/bidding/bid/getBidResultView/9318093
